,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
359,6zBCuzJwov08YisHZkfU2Q,Enterprise Rent-A-Car,9213 W Fairview Ave,Boise,PA,83704,43.6190157662,-116.2967492044,4.0,13,1,,"Car Rental, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '7:30-14:0', 'Friday': '8:0-18:0', 'Saturday': '9:0-12:0'}"
482,XTWGzxXdQN0DVVH2GPGwiA,Days Inn by Wyndham Reno South,"5851 S Virginia St, No.101",Reno,IN,89502,39.472575,-119.788467,2.0,27,0,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
498,PXI7kvSV-NvWcqbI9jlmtg,Best Western Cedar Park Inn,5116 Gateway Boulevard,Edmonton,AZ,T6H 2H4,53.4885913,-113.4935085,3.0,17,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
507,cvrIE1rLPWk-Nxb_ZNv5lA,Candlewood Suites Tucson,1995 W River Rd,Tucson,LA,85704,32.303741804,-111.009323614,4.5,29,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2'}","Party & Event Planning, Event Planning & Services, Venues & Event Spaces, Hotels & Travel, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
551,1tLrjXG-I9hkOoZxlbwDqw,Olde Black Horse,200 Fairfield Rd,Norristown,NV,19401,40.1083808,-75.318943,4.0,9,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'WiFi': ""'free'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","American (Traditional), Bars, Breakfast & Brunch, Nightlife, Cocktail Bars, Restaurants, Hotels & Travel, Hotels, Event Planning & Services",
573,wOUJ-duIHPdRiV0af9s0xA,Quality Inn & Suites,1000 Hershel Drive,Mt. Juliet,PA,37122,36.16979,-86.51527,1.5,22,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
588,FbGjCCc7bbJVWq3Kt5lamQ,Ernie's Tours,"828 Bourbon St, Apt E",New Orleans,LA,70116,29.9599126,-90.064281,5.0,52,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'True', 'WiFi': ""u'no'""}","Walking Tours, Tours, Hotels & Travel, Historical Tours","{'Monday': '0:0-0:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0'}"
625,MObScX791gFEwtkoFA9GQg,Creekside Inn,197 E Ave,Woodstown,PA,08098,39.65126,-75.31747,3.5,20,1,"{'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Caters': 'True', 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'OutdoorSeating': 'True', 'CoatCheck': 'True'}","Restaurants, American (New), Event Planning & Services, Bars, Pubs, American (Traditional), Social Clubs, Hotels, Hotels & Travel, Nightlife, Arts & Entertainment, Venues & Event Spaces","{'Wednesday': '11:0-20:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}"
632,rh3C_JK4NAoUJ-HNStvHtw,"Historic Philadelphia, Inc","600 Walnut St, Ste 130",Philadelphia,AZ,19106,39.948321,-75.151952,4.5,5,1,,"Hotels & Travel, Tours",
640,SBgr-5n-kV3EeZztYsstUQ,Locust Lane Craft Brewery,"50 Three Tun Rd, Ste 4",Malvern,AZ,19355,40.035282,-75.5552598633,4.5,29,1,"{'GoodForKids': 'True', 'HappyHour': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'DogsAllowed': 'True', 'ByAppointmentOnly': 'False', 'HasTV': 'True'}","Bars, Breweries, Beer Tours, Tours, Food, Hotels & Travel, Beer, Wine & Spirits, Food Trucks, Nightlife, Beer Bar","{'Monday': '0:0-0:0', 'Wednesday': '15:0-21:0', 'Thursday': '15:0-21:0', 'Friday': '15:0-21:0', 'Saturday': '13:0-21:0', 'Sunday': '13:0-19:0'}"
656,-pgTW7620zWdXMOczX0www,Arizona Stagecoach,7250 S Tucson Blvd,Tucson,PA,85756,32.0872287083,-110.9234619141,2.5,41,1,,"Tours, Travel Services, Airport Shuttles, Transportation, Taxis, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
696,XkofFhXCXh6OUpWoG_ydWA,Budget Rental Cars,2925 Olive St,Saint Louis,NV,63103,38.6348961,-90.2210235,1.5,7,1,,"Car Rental, Hotels & Travel","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-13:0', 'Sunday': '10:0-13:0'}"
697,5bCsL-Z3QnuBmJQtIt8qyw,Pacifico Hyundai,6715 Essington Ave,Philadelphia,PA,19153,39.912338414,-75.2230943868,2.5,46,1,{'BusinessAcceptsCreditCards': 'True'},"Car Dealers, Auto Parts & Supplies, Auto Repair, Hotels & Travel, Automotive, Car Rental","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-18:0'}"
704,QqNTFJdyPWpWAoO5ecw93w,Kathy's Airport Limousine Service,"4169 Lamson Ave, Ste 108",Spring Hill,MO,34608,28.4919153,-82.544815,2.0,7,1,,"Airport Shuttles, Transportation, Hotels & Travel, Limos","{'Monday': '8:0-14:0', 'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}"
710,ZuOtTcUKmthgvhKo7B_-sg,Music City Pub Crawl,Commerce St & 2nd Ave N,Nashville,PA,37201,36.1632454,-86.7760574,4.5,55,1,"{'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'CoatCheck': 'False', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'loud'"", 'ByAppointmentOnly': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'None', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}""}","Historical Tours, Hotels & Travel, Bar Crawl, Walking Tours, Tours, Nightlife, Beer Tours","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '9:0-20:0'}"
724,URx5X3g4IoDHbIidFO0bLA,Gateway Parks Eagle,165 S Eagle Island Pkwy,Eagle,AB,83616,43.684826,-116.403473,4.5,16,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'DogsAllowed': 'True', 'WheelchairAccessible': 'False'}","Parks, Skate Parks, Tubing, Arts & Entertainment, Hotels & Travel, Active Life, Ski Resorts","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
744,ygnm0ze5oL4E9JpysZAxBA,Absolute Luxury,,Tampa Bay,AB,33578,27.8585758,-82.3397635,1.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Limos, Party Bus Rentals, Transportation, Hotels & Travel, Event Planning & Services","{'Monday': '8:0-0:0', 'Tuesday': '8:0-0:0', 'Wednesday': '8:0-0:0', 'Thursday': '8:0-0:0', 'Friday': '8:0-0:0', 'Saturday': '8:0-0:0', 'Sunday': '8:0-0:0'}"
793,DtxrbAIsSMs4Qshm99AFAQ,Reno Tahoe Shuttle,,Reno,NV,89503,39.5424616,-119.8410174,3.5,26,0,"{'WiFi': ""u'no'""}","Hotels & Travel, Airport Shuttles, Transportation","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
795,rTW2Og0Tg-OkLTvRwgYO9Q,Courtyard by Marriott Nashville Downtown,170 4th Ave N,Nashville,PA,37219,36.1636657502,-86.7784967447,3.0,110,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False'}","Event Planning & Services, Hotels & Travel, Venues & Event Spaces, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
801,F9T3rX0JmXLZD3lLg4qVGw,Econo Lodge,301 S Black Horse Pk,Bellmawr,TN,08031,39.86369,-75.07774,3.5,11,0,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:30-0:30', 'Tuesday': '0:30-0:30', 'Wednesday': '0:30-0:30', 'Thursday': '0:30-0:30', 'Friday': '0:30-0:30', 'Saturday': '0:30-0:30', 'Sunday': '0:30-0:30'}"
805,v5nFmEgsJL8Cqk_9obH-QQ,International Medical Group,2960 N Meridian St,Indianapolis,NJ,46208,39.809651,-86.158532,1.0,129,1,,"Travel Services, Financial Services, Insurance, Hotels & Travel","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0'}"
816,kMHZgooGdHN9099Ya0X4vA,La Quinta Inn by Wyndham Indianapolis East-Post Drive,2349 Post Dr,Indianapolis,CA,46219,39.80203,-86.010737,2.0,42,1,"{'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
819,H2v510VQj7oyC30izAVPlQ,Windsong Charters & Boat Rentals,5015 US Hwy 19,New Port Richey,IN,34652,28.2321228,-82.7307355,3.5,30,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'False'}","Boat Charters, Active Life, Boat Tours, Boating, Event Planning & Services, Rafting/Kayaking, Fishing, Tours, Hotels & Travel","{'Monday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
858,qawLaB79bFiXEtFc5SEBkQ,Crowne Plaza Philadelphia - King of Prussia,260 Mall Blvd,King Of Prussia,DE,19406,40.0911552,-75.3887632,3.0,64,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels & Travel, Hotels, Event Planning & Services, Resorts, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
917,QN7JpoH3Qu-Y-EhXdxrkMQ,Fleur-de-Lys Mansion,3500 Russell Blvd,Saint Louis,PA,63104,38.6125465,-90.2380408,5.0,22,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Event Planning & Services, Bed & Breakfast, Hotels, Hotels & Travel","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}"
931,97yrCvZXdnMhmCtM8qmKFw,Comfort Inn Marrero - New Orleans West,6751 Westbank Expressway,Marrero,NJ,70072,29.892187,-90.122823,3.0,19,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
961,nazEG-Y2LF4nL4bIIz7DKg,Clearwater Travel Resort,2946 Gulf To Bay Blvd,Clearwater,AZ,33759,27.962428,-82.714922,3.5,8,1,"{'WiFi': ""u'free'""}","Hotels & Travel, RV Parks, Campgrounds","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '9:0-12:0'}"
977,_d5OAxaxRPsivgYbBq7U1A,Hyatt Place Philadelphia/King of Prussia,440 American Ave,King of Prussia,FL,19406,40.0944575489,-75.3974799022,3.5,62,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
