,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url,category_hotel
7945,Riverside Motel,"Riverside Motel, Yulee, FL 32097",0x88e50593793be5eb:0x8b1c18684402c3e2,,30.735818599999998,-81.687483,['Hotel'],4.0,5,,,,,"['0x88e5b77708aa3b49:0xc0e9e7cfa8f5ffac', '0x88e5b6052ccdddc5:0xcc1d2676be1ada7e', '0x88e5ca36704317ab:0x370b0f25d42bc8a5', '0x88e5b91ef019185d:0xa744eac6dfa0843f', '0x88e5b93f065e2e01:0x502f5d29a66bee79']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e50593793be5eb:0x8b1c18684402c3e2?authuser=-1&hl=en&gl=us,Hotel
8146,Howard Johnson Saint Robert Near Fort Leonard Wood,"Howard Johnson Saint Robert Near Fort Leonard Wood, 239 St Robert Blvd, St Robert, MO 65584",0x87dadd7deffeb753:0x22b9d6cc43e326ea,Low-key rooms with kitchenettes in a down-to-earth hotel featuring a gym & free breakfast.,37.8265228,-92.15903469999999,"['Hotel', 'Inn', 'Lodge', 'Motel']",3.4,44,,,,,"['0x87dadd0639f745cf:0xe6d74938a04f2b0e', '0x87dadd71eb8f261f:0x2b60ec95e62c76aa', '0x87dadd14d4852f0b:0x50ba7f8b1eba3183', '0x87dae788a04113ad:0xb75769e97aa7c03b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x87dadd7deffeb753:0x22b9d6cc43e326ea?authuser=-1&hl=en&gl=us,Hotel
8560,Georgetown Vacation Rentals,"Georgetown Vacation Rentals, 356 N Broadway St, Georgetown, KY 40324",0x88423f0b9c6fffff:0xc3ecc4cb7bccf4fd,,38.2148032,-84.5597011,"['Vacation home rental agency', 'Hotel']",5.0,8,,,"{'Health & safety': ['Appointment required', 'Mask required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits']}",,"['0x88423f74694f3ce1:0xe88bd8776d5ec2ab', '0x88426b400ba2f8d5:0xd67c394585eed66c', '0x884251c000000001:0x27b850ab28818c4c', '0x884204209096278f:0x7fc80268ad7d141a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88423f0b9c6fffff:0xc3ecc4cb7bccf4fd?authuser=-1&hl=en&gl=us,Hotel
10297,Motel 6 Sioux City,"Motel 6 Sioux City, 6166 Harbor Dr, Sioux City, IA 51111",0x878dffa6aee7d3d7:0x251ad04cdf4901a1,,42.3988035,-96.3688403,"['Motel', 'Hotel']",3.0,1,,,,,"['0x878e0764893cef3f:0xe81e3a596ad1f6f9', '0x878dfda98135c8c9:0x810a8a341c2ff44a', '0x878dfc44354d3013:0xf5c804e1ee0ed4bb', '0x878e0766db2aed23:0x6d33476ead76c1eb']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x878dffa6aee7d3d7:0x251ad04cdf4901a1?authuser=-1&hl=en&gl=us,Hotel
10990,Holiday Inn Fitchburg - Waterpark,"Holiday Inn Fitchburg - Waterpark, 150 Great Wolf Dr, Fitchburg, MA 01420",0x89e3e40a2a7d4311:0x56b54dc03b117440,,42.547033899999995,-71.8543571,"['Hotel', 'Convention center', 'Water park']",2.5,2,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e3e40a2a7d4311:0x56b54dc03b117440?authuser=-1&hl=en&gl=us,Hotel
11044,Building 63,"Building 63, 6631-6799 Captains Way, Orlando, FL 32821",0x88dd807fc80ee109:0xb4294b11264f23aa,,28.403503699999998,-81.4710006,['Hotel'],4.7,6,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807fc80ee109:0xb4294b11264f23aa?authuser=-1&hl=en&gl=us,Hotel
11484,The Royal Chinook,"The Royal Chinook, 503 W 3rd St, Yachats, OR 97498",0x54c1eb699a24ba55:0x47978bf3a4c68381,,44.3119687,-124.10730129999999,"['Hotel', 'Vacation home rental agency']",4.0,1,,,,,"['0x54c1eb4df6f00bfb:0x63a903216491f87e', '0x54c1eb519c14160d:0x521ddeef2db743aa', '0x54c194aa655509a9:0xd7c9039d835d4848', '0x54c1eb46ef51584b:0xc1325ca500fa9ed0', '0x54c1eb40b6b33639:0xa1d080ef3e791e7a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c1eb699a24ba55:0x47978bf3a4c68381?authuser=-1&hl=en&gl=us,Hotel
11833,Alpine Motel,"Alpine Motel, Burkesville, KY 42717",0x8867b90fcfc7ba9d:0xdaae52c29e2ee719,,36.7903399,-85.3705186,['Hotel'],5.0,2,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8867b90fcfc7ba9d:0xdaae52c29e2ee719?authuser=-1&hl=en&gl=us,Hotel
12445,MSI Lodging Systems,"MSI Lodging Systems, 233 Parkers Mill Way, Somerset, KY 42503",0x885d484f6d3b709f:0xd4192fa815c2b414,,37.0381029,-84.6305019,['Hotel'],2.7,18,,,,,"['0x885d498776a52f1f:0x9644ddf4d88186ea', '0x885d35ff0898976f:0xa98af92b0d77e7dd', '0x885d48154540f91b:0x627eeb5e2a7a88ce', '0x885d4848c02b3bf9:0x5d0527ae360f1dc7']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x885d484f6d3b709f:0xd4192fa815c2b414?authuser=-1&hl=en&gl=us,Hotel
12607,Lazy K Lounge,"Lazy K Lounge, 137 Locust St, Columbia, PA 17512",0x89c89ce228f7909b:0xa02441a3e7e0fe89,,40.0305695,-76.5049006,['Hotel'],4.0,1,,,,,"['0x89c89d1afdbd9c9d:0x7e9191502f632270', '0x89c62782b811e077:0x42b76196966c69e6', '0x89c6277888ca197b:0xbee35a0a91cb900c', '0x89c89b4ef4612495:0x9ff4d6299dd1df32']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c89ce228f7909b:0xa02441a3e7e0fe89?authuser=-1&hl=en&gl=us,Hotel
13016,Stay Alfred on 14th Street,"Stay Alfred on 14th Street, 1200 14th St NW, Washington, DC 20005",0x89b7b7eabc3a975d:0x36dd303af2d306b6,,38.9071152,-77.0321293,"['Hotel', 'Vacation home rental agency']",4.4,18,,,,,"['0x89b7b7eaead12edf:0x1df9787c54162884', '0x89b7b7c015d2fc4f:0x751826f054c85f7f', '0x89b7b7c403124379:0x7e295cd1b380daf4', '0x89b7b77c48b7fb55:0x633025f5cd06c199']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b7b7eabc3a975d:0x36dd303af2d306b6?authuser=-1&hl=en&gl=us,Hotel
13374,Gatlinburg Village 505 3 Bedroom Home,"Gatlinburg Village 505 3 Bedroom Home, 403 Baskins Creek Rd, Gatlinburg, TN 37738",0x885955d9c0464015:0xb1df9fa73da57766,,35.7092382,-83.5109427,['Hotel'],3.4,7,,,,,"['0x8859567574563813:0x7a5ad8f95cc93f99', '0x885955d98e5ff347:0xb702e6707ad18343', '0x885955c4b7b82703:0xf50f97e6259e479e', '0x885955c5c5d41b31:0x9b8a01e859051f01', '0x885955c5dd9c9937:0x44788bd8fe7df4dc']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x885955d9c0464015:0xb1df9fa73da57766?authuser=-1&hl=en&gl=us,Hotel
13381,Wilderness Retreat Cabins,"Wilderness Retreat Cabins, 1311 Canyon Rd, Wisconsin Dells, WI 53965",0x88074662dd5be381:0x3fc1e4d73944fd62,,43.6007415,-89.7649993,['Hotel'],4.7,16,,,,,"['0x880746616cc99b9f:0x4fe01a6c8498e7b9', '0x88074506c28a9153:0x56576a31dc07af1f', '0x880748b326b7586f:0x85220fe86c8210de', '0x8807467ddfbbdb9d:0x7f8e9c9d14c8b606']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88074662dd5be381:0x3fc1e4d73944fd62?authuser=-1&hl=en&gl=us,Hotel
14000,Comfort Inn & Suites,"Comfort Inn & Suites, 835 S Chestatee St, Dahlonega, GA 30533",0x885f67d7d223d33b:0x747859c540f93fb4,,34.524487199999996,-83.9741111,['Hotel'],4.6,7,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885f67d7d223d33b:0x747859c540f93fb4?authuser=-1&hl=en&gl=us,Hotel
14181,Taos Mountain Inn,"Taos Mountain Inn, 13 West Road, El Prado, NM 87529",0x871770268556ac25:0xd7b65612278b7419,,36.463398399999996,-105.5993091,"['Hotel', 'Extended stay hotel', 'Wellness hotel']",4.8,4,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x871770268556ac25:0xd7b65612278b7419?authuser=-1&hl=en&gl=us,Hotel
14371,Good's Furniture Bed & Breakfast,"Good's Furniture Bed & Breakfast, 209 N Main St, Kewanee, IL 61443",0x880a0118188d47bf:0x61ffef7e28f403df,,41.2451016,-89.92537879999999,['Hotel'],4.4,5,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x880a0118188d47bf:0x61ffef7e28f403df?authuser=-1&hl=en&gl=us,Hotel
14464,Coloma Cottages,"Coloma Cottages, 5941 New River Rd, Coloma, CA 95613",0x809a55833fbe05ad:0xee6507787fb6a26c,,38.7993522,-120.88576499999999,"['Resort hotel', 'Hotel', 'Indoor lodging', 'Inn', 'Lodge', 'Motel', 'Mountain cabin', 'Rafting', 'Villa']",5.0,48,,,,,"['0x809a55836b287ba3:0xabc7ef05f2c25caa', '0x809a55820c65eec9:0x59fbc0c6954cebac', '0x809a463eec9ca0ed:0x838a55e1dc2ef756', '0x809affd434eb8593:0xcebe4391de2b5aa0', '0x809ae1b951f45329:0xcb3688cd440aa7d6']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x809a55833fbe05ad:0xee6507787fb6a26c?authuser=-1&hl=en&gl=us,Hotel
15769,Budget Host Inn,"Budget Host Inn, 2600 W 65th St, Little Rock, AR 72209",0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4,,34.6901278,-92.3068737,"['Inn', 'Hotel', 'Motel']",3.8,16,,,,,"['0x87d2a5a8d925f833:0x46e1cca73e5fe6c7', '0x87d2a576f7d4ddd3:0xe8b6468273ce6982', '0x87d2a545c51cb58f:0x9d71b11466fc3c3d', '0x87d2a5ee0253254b:0xb86f2651cc654b12']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4?authuser=-1&hl=en&gl=us,Hotel
15850,Marriot Spring,"Marriot Spring, 311 E 5th St, Charlotte, NC 28202",0x8856a024675aee89:0x862b88b4dadfe62c,,35.2263172,-80.8384791,['Hotel'],5.0,4,,,,,"['0x885698aaf2ff724b:0x94701276c8b4706d', '0x8856a736ecf0a6cd:0xb1aac0af6fc51c53', '0x885421402ae389fb:0xb3cf7e9d0b7fcb78', '0x885427ad953f88c3:0x6bfd055fabfe47bc']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a024675aee89:0x862b88b4dadfe62c?authuser=-1&hl=en&gl=us,Hotel
15896,Carpenter Station,"Carpenter Station, 202 Main St, Eureka, UT 84628",0x874d11221abf16c1:0x7aaabd844a1d6e58,,39.9550735,-112.1190379,"['Motel', 'ATM', 'Bank', 'Bank or ATM', 'Hotel']",5.0,3,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x874d11221abf16c1:0x7aaabd844a1d6e58?authuser=-1&hl=en&gl=us,Hotel
16891,Vicksburg Battlefield Inn,"Vicksburg Battlefield Inn, 4137 N Frontage Rd, Vicksburg, MS 39183",0x8628e1e78d2a1cc9:0xe221d4295b351b88,,32.3459305,-90.844805,"['Motel', 'Extended stay hotel', 'Hotel', 'Lodge']",3.2,8,,,,,"['0x8628e1fac2355a29:0xed93acb17f0f7933', '0x8628e1fb355c0bd1:0xd0d3af4a4c9fe9ca', '0x8628e027f1466223:0xbc8f1023c8ad3f3c', '0x8628e1e6934c8e67:0x85c386ab5445438c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8628e1e78d2a1cc9:0xe221d4295b351b88?authuser=-1&hl=en&gl=us,Hotel
17802,Daytona Beach Oceanside Inn,"Daytona Beach Oceanside Inn, 1801 W International Speedway Blvd, Daytona Beach, FL 32114",0x88e6d9341a9a1edd:0x128274d78488c1f8,,29.199479999999998,-80.99375909999999,['Hotel'],4.4,46,,,,,"['0x88e6d9f834b363eb:0x495a9695bac4140c', '0x88e6d79c3a077c77:0x1c2db029b48f538c', '0x88e6d9f9909ceed7:0xefa59044b5e21980', '0x88e6d799050f32e3:0x208bbb4321a4b9a6', '0x88e6d7994512d20b:0x35c6ca54b6d2f9e0']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6d9341a9a1edd:0x128274d78488c1f8?authuser=-1&hl=en&gl=us,Hotel
17869,Brownies Cabins,"Brownies Cabins, Wellfleet, MA 02667",0x89fb6721d867ed31:0x4a011977aa8300ba,,41.919874,-70.0065427,['Hotel'],5.0,1,,,,,"['0x89fb66b91ba29bf1:0xd6b58ac768310116', '0x89fb66b58939281b:0x3e3aa1eb553496a6', '0x89fb66b87b90770d:0x124726d874c9df4a', '0x89fb6714767c0001:0xd3e56c55b82232cb']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89fb6721d867ed31:0x4a011977aa8300ba?authuser=-1&hl=en&gl=us,Hotel
18080,The Rose Cottage in De Bruce,"The Rose Cottage in De Bruce, 4 Goff Rd, Livingston Manor, NY 12758",0x89dc97fd8935dd97:0x80860aef765fe4b4,,41.9140975,-74.72721899999999,"['Inn', 'Bar', 'Bed & breakfast', 'Hotel', 'Motel', 'Restaurant']",5.0,8,,,,,"['0x89dc96b5299f8c21:0x655a4f6d2ff33480', '0x89dc9eb04aa5bfc5:0x28c8e6e64e3819a8', '0x89dc9905a8eead03:0x41d91a5712ac28c6', '0x89dc99a8041e848b:0x8e9850111ae2e2c4', '0x89dc98360c0805b3:0xaaedc61df435609a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dc97fd8935dd97:0x80860aef765fe4b4?authuser=-1&hl=en&gl=us,Hotel
18708,Lozeau Lodge,"Lozeau Lodge, 31 Westfall Rd, Superior, MT 59872",0x535e0556f5e472fd:0xea99dee39511b6ad,,47.1112556,-114.7843781,['Hotel'],4.7,7,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x535e0556f5e472fd:0xea99dee39511b6ad?authuser=-1&hl=en&gl=us,Hotel
19350,Retreat,"Retreat, 5099 Lee Point, Terrell, NC 28682",0x8856ad3e1ddf555d:0x1c82777f14b09357,,35.5541012,-80.9605114,['Hotel'],3.8,8,,,,,"['0x8856b2a90472932f:0x2d1fbe4211c507b5', '0x8856aad78adbf337:0x5d1d85b8aa2fcb6c', '0x8851530d5325f4d1:0x54d2a0ff61194ac0', '0x885154e448fb8641:0x1523395c78f6f2a1']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856ad3e1ddf555d:0x1c82777f14b09357?authuser=-1&hl=en&gl=us,Hotel
19465,Atlanta Banquet Hall,"Atlanta Banquet Hall, 1300 Peachtree Industrial Blvd, Suwanee, GA 30024",0x88f59771d03019fd:0x299abf5c4689e56b,,34.042086999999995,-84.095934,['Hotel'],4.7,18,,,,,"['0x88f597b93428fc27:0x229747f9e0a607fa', '0x88f5a32fdaab3875:0xbb44cc7eed1adef6', '0x88f5a31447609ee5:0xb56422e99cbc694e', '0x88f5bc59b2f36187:0xa34d6c02440b603a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f59771d03019fd:0x299abf5c4689e56b?authuser=-1&hl=en&gl=us,Hotel
19640,Fairfield Inn & Suites by Marriott Lewisburg,"Fairfield Inn & Suites by Marriott Lewisburg, 70 Hardwood Dr, Lewisburg, PA 17837",0x89cf13db9b838f71:0xae0f579091e71c86,,40.9628255,-76.89767479999999,['Hotel'],4.7,8,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89cf13db9b838f71:0xae0f579091e71c86?authuser=-1&hl=en&gl=us,Hotel
20258,Quality Inn Parkway,"Quality Inn Parkway, 2162 Parkway, Pigeon Forge, TN 37863",0x885bff45a4d76a1b:0x35d5c12df68ce026,"Basic hotel with a pool & freebies such as continental breakfast, coffee in the lobby & WiFi.",35.818616999999996,-83.578694,"['Hotel', 'Lodge']",3.6,45,,,,,"['0x885bff4ede542783:0x53e18403b6848b6a', '0x885bff00d079c3dd:0x72e52860a437f5d1']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x885bff45a4d76a1b:0x35d5c12df68ce026?authuser=-1&hl=en&gl=us,Hotel
20954,Niagara Shores Campground and Conference Center,"Niagara Shores Campground and Conference Center, 6419 Lake Road 18, Appleton, NY 14008",0x89d486fb46b35e0f:0xf89fc350fa1c93f0,,43.3429024,-78.6801596,"['Indoor lodging', 'Campground', 'Conference center', 'Event venue', 'Gay & lesbian organization', 'Holiday accommodation service', 'Hotel', 'Retreat center', 'Spiritist center', 'Wedding venue']",4.8,38,,,,,"['0x89d49ced4b2e0f51:0x3079048d41e88081', '0x89d47f8dc483fd1d:0x9e5f2eb2f9f00003', '0x89d47eaacc4b432b:0xe3951a60f614b69e', '0x89d486ec5b15e6df:0x1782ecb9ef1eef46', '0x89d363270e44a395:0xa5c0d39e65898723']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89d486fb46b35e0f:0xf89fc350fa1c93f0?authuser=-1&hl=en&gl=us,Hotel
20976,The Luxury Log House,"The Luxury Log House, 145 Pine Ln, Lanesville, NY 12450",0x89dc53af65a602b5:0x10190ffe79346777,,42.210297,-74.224931,['Hotel'],4.5,2,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dc53af65a602b5:0x10190ffe79346777?authuser=-1&hl=en&gl=us,Hotel
21087,Natural Springs Resort,"Natural Springs Resort, 500 S Washington St, New Paris, OH 45347",0x884007ed1712bf37:0x10015fb7ab82ad7e,,39.852526,-84.79279939999999,['Hotel'],4.3,6,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x884007ed1712bf37:0x10015fb7ab82ad7e?authuser=-1&hl=en&gl=us,Hotel
21344,UAW Black Lake,"UAW Black Lake, 2000 Maxon Rd, Onaway, MI 49765",0x4d3506e6ef967d3f:0x55de2f7feb564b,,45.413016999999996,-84.269035,['Hotel'],4.8,4,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d3506e6ef967d3f:0x55de2f7feb564b?authuser=-1&hl=en&gl=us,Hotel
21607,Oceanfront Resorts & Beachside Condo Rentals,"Oceanfront Resorts & Beachside Condo Rentals, 21908 Front Beach Rd, Panama City Beach, FL 32413",0x8833b69c357ac66f:0xec661f639c5931e1,,30.2553196,-85.95883099999999,"['Condominium rental agency', 'Hotel', 'Resort hotel', 'Travel agency', 'Vacation home rental agency']",4.5,16,,,{'Accessibility': ['Wheelchair accessible entrance']},,"['0x8893f28cd50831e5:0xf8c20d57406d4fb7', '0x8893f2edb35af3a7:0x609bdc1d3ac257c5', '0x8893f2c54fd268e1:0xa7f6bca405b9eb41', '0x8833b69c4a75bdad:0x4eb9ad39021528f4', '0x8833b69c356d63c7:0x1910a01afe95157a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8833b69c357ac66f:0xec661f639c5931e1?authuser=-1&hl=en&gl=us,Hotel
22029,The INN at Willow Pond,"The INN at Willow Pond, 74 Willow Pond Rd, Manchester Center, VT 05255",0x89e05c2451c4878b:0x2d4580728dbf7a15,"Rural inn offering country-style rooms & suites with fireplaces, as well as event space in a barn.",43.2071638,-73.0243859,"['Hotel', 'Conference center']",3.3,18,,,,,"['0x89e05c244326f9e5:0xee54c3a8d041b33b', '0x89e05c264aaee4f9:0x5503bd9eb530a276', '0x89e05e41597a8fc7:0x9a143e429b18cfdf', '0x89e05e837eef1a21:0xb66cf955d1123c34', '0x89e05c2451c4878b:0xa70bf01c4a4d1c7a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e05c2451c4878b:0x2d4580728dbf7a15?authuser=-1&hl=en&gl=us,Hotel
22505,Gavins Celebration For Krewe Déjà Vu Du Monde Civic Center,"Gavins Celebration For Krewe Déjà Vu Du Monde Civic Center, 722 Pujo St, Lake Charles, LA 70601",0x863b843100db9f63:0xfed372bc4a0a1182,,30.2266728,-93.21087109999999,['Hotel'],5.0,1,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x863b843100db9f63:0xfed372bc4a0a1182?authuser=-1&hl=en&gl=us,Hotel
22580,A Plus Accommodations,"A Plus Accommodations, 721 Gov Morrison St, Charlotte, NC 28211",0x88569e3c79905843:0x8ecd15ae7fb08ef2,,35.157112999999995,-80.824607,['Hotel'],4.0,1,,,,,"['0x8854215d324bb41d:0x2afebda7beddba26', '0x8856a213f3f78f4b:0xfbbc55b671d0b0f', '0x88542160da10c865:0x14739722dfcff209', '0x88541c27c228874d:0x72f7a48396fd3d3c', '0x88569c50ce1bceb1:0x97156fd4bc00773d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88569e3c79905843:0x8ecd15ae7fb08ef2?authuser=-1&hl=en&gl=us,Hotel
22970,Thunderbird Motel,"Thunderbird Motel, 835 Tunnel Rd, Asheville, NC 28805",0x8859f38fb1ee70c9:0xafb23ad70f166aae,,35.5863909,-82.5053829,"['Motel', 'Hotel']",3.0,8,,,,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8859f38fb1ee70c9:0xafb23ad70f166aae?authuser=-1&hl=en&gl=us,Hotel
23802,Coastal Hotels,"Coastal Hotels, 18525 36th Ave S, Seattle, WA 98188",0x54905ca6a91c483b:0x41c5e23580f8cd39,,47.4373133,-122.28766069999999,['Hotel'],4.3,3,,,,,"['0x5490154c7b31a123:0xe74658c781c3a837', '0x5490154b196c02e3:0x490ba981da4cd0e0', '0x5490154b196c02e3:0x1cd4cd233d90246', '0x54905b5e545114a1:0xc101f0f79611c511']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x54905ca6a91c483b:0x41c5e23580f8cd39?authuser=-1&hl=en&gl=us,Hotel
