,business_id,name,address,city,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,state
10,97yrCvZXdnMhmCtM8qmKFw,Comfort Inn Marrero - New Orleans West,6751 Westbank Expressway,Marrero,70072,29.892187,-90.122823,3.0,19,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True'}","['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Luisiana
11,_d5OAxaxRPsivgYbBq7U1A,Hyatt Place Philadelphia/King of Prussia,440 American Ave,King of Prussia,19406,40.0944575489,-75.3974799022,3.5,62,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Pensilvania
12,QGTvT3wucl1UKZgxTRGStQ,Hotel De L'eau Vive,315 Tchoupitoulas St,New Orleans,70130,29.949712,-90.0669215,2.5,28,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3'}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']",,Luisiana
13,euVGpCtxxUR3RPazHvwXBA,Econo Lodge,100 Mcintosh Plz,Newark,19713,39.6751633,-75.6817275,2.0,13,0,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Delaware
14,gzlxuD-EyJp6cKUH_4wh-Q,The Bungalows,12321 Gulf Blvd,Treasure Island,33706,27.7789477,-82.7796857,4.0,13,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True'}","['Hotels', ' Event Planning & Services', ' Bed & Breakfast', ' Hotels & Travel']","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}",Florida
15,1KnmkIFa2gVwK4DavsqECA,Safari Inn Downtown,1070 W Grove St,Boise,83702,43.6167386,-116.2070272,3.5,26,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1'}","['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Idaho
16,ZdHf2EkMQPV2OBNgGhMAKQ,Americas Best Value Inn Nashville Downtown,2403 Brick Church Pike,Nashville,37207,36.2096512,-86.7777406728,2.0,28,1,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True'}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tennessee
17,sway6xsRT_CUC6peK_Pyww,Bobby Hotel,230 4th Ave N,Nashville,37219,36.1647114553,-86.7793040316,3.5,178,1,"{'ByAppointmentOnly': 'False', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '3', 'BikeParking': 'False', 'HasTV': 'False', 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'HappyHour': 'False', 'Smoking': ""u'no'"", 'Alcohol': ""u'full_bar'"", 'CoatCheck': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'WheelchairAccessible': 'True', 'WiFi': ""u'free'""}","['Hotels', ' Restaurants', ' Cocktail Bars', ' Event Planning & Services', ' Lounges', ' Hotels & Travel', ' Bars', ' Nightlife']","{'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Saturday': '17:0-22:0'}",Tennessee
18,qluIWCzDpeZfddykm_2gYg,North American Motor Inns,4444 City Ave,Philadelphia,19131,40.0031369,-75.2213329,1.0,25,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'""}","['Hotels', ' Event Planning & Services', ' Hotels & Travel', ' Caterers']",,Pensilvania
19,AAFofLiyt_K1Ar_eEuVc7g,Crowne Plaza Hotel Philadelphia Downtown,1800 Market St,Philadelphia,19103,39.9528337,-75.1703455,3.0,59,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","['Venues & Event Spaces', ' Hotels', ' Event Planning & Services', ' Hotels & Travel']",,Pensilvania
20,XIhYNbFGpBLLnQ44uoO4_w,Microtel Inn & Suites by Wyndham West Chester,500 Willowbrook Lane,West Chester,19382,39.9433369,-75.5862979,1.5,47,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']",,Pensilvania
21,TpOw5V8QyJBc1zkI8YxGfg,Red Roof Inn & Suites Mt Holly - McGuire AFB,2015 Burlington Mt Holly Rd,Mount Holly,08060,40.0283066507,-74.8182848498,2.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-23:59', 'Tuesday': '0:0-23:59', 'Wednesday': '0:0-23:59', 'Thursday': '0:0-23:59', 'Friday': '0:0-23:59', 'Saturday': '0:0-23:59', 'Sunday': '0:0-23:59'}",Nueva Jersey
22,wCrh_VwxVc65OGFzxHn5uA,Staybridge Suites - Franklin,3601 Mallory Ln,Franklin,37067,35.9389286557,-86.8223989264,5.0,5,1,,"['Hotels', ' Hotels & Travel', ' Event Planning & Services']",,Tennessee
23,cxupofYLq46bxBHpKyFwsQ,Wyndham New Orleans - French Quarter,124 Royal Street,New Orleans,70130,29.953713,-90.068526,3.0,266,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Luisiana
24,xvdsyHdYsEbm_Cqs0BgdEw,DoubleTree Suites by Hilton Hotel Nashville Airport,2424 Atrium Way,Nashville,37214,36.159844716,-86.689278864,3.0,64,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tennessee
25,YPekg_V_Ds24fo-ecpwSRQ,Residence Inn Wilmington Newark/Christiana,240 Chapman Road,Newark,19702,39.667356,-75.681624,3.5,11,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']",,Delaware
26,GhBVWW32PVRmBwetZWIHnA,Hampton Inn St. Louis/Sunset Hills,1580 South Kirkwood Rd,Saint Louis,63127,38.556696,-90.406313,2.5,30,0,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","['Hotels', ' Bed & Breakfast', ' Event Planning & Services', ' Hotels & Travel']",,Misuri
27,bN2DgOhWgNDp3QvnN1D7nQ,Hampton Inn Philadelphia/Great Valley/Malvern,635 Lancaster Ave,Frazer,19355,40.0347082532,-75.579573,4.0,22,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '2'}","['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Pensilvania
28,4HVnEE3MwfBUmdVK_P4oWA,"Hampton Inn Indianapolis NW/Zionsville, IN",6005 S Main St,Whitestown,46075,39.953262,-86.344609,2.5,17,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Indiana
29,5LONkt7iDMndF3qjN6ufpw,"La Posada Lodge & Casitas, Ascend Hotel Collection",5900 North Oracle Rd,Tucson,85704,32.31409,-110.9769394,3.0,100,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False'}","['Hotels', ' Resorts', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Arizona
30,7j8rT3FZbXgL4k0DnXi2Mw,"West Beach Inn, a Coast Hotel",306 W Cabrillo Blvd,Santa Barbara,93101,34.4092802,-119.69348,4.0,137,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",California
31,YOOLwYyibmww2RDFV35ijw,Watergarden Inn At the Bay,126 4th Ave NE,Saint Petersburg,33701,27.7761216,-82.6334672,4.5,30,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","['Bed & Breakfast', ' Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",Florida
32,y5AmNH1LGeuBxbH5qREpPg,Country Inn & Suites Radisson,11551 Discovery Ln,Seffner,33584,28.0088438,-82.3031724,3.5,29,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'DogsAllowed': 'True'}","['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Florida
33,_E0WPHfJEYmwOUCAj-Jq1A,Western Village Inn and Casino,815 Nichols Blvd,Sparks,89434,39.5344459,-119.7344361,3.5,266,1,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'True', 'GoodForKids': 'False', 'Caters': 'False', 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}""}","['Casinos', ' Hotels', ' Arts & Entertainment', ' American (New)', ' Restaurants', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Nevada
34,s1PNBO9o5jIgNd5YWUDLXQ,The Independent Hotel,1234 Locust St,Philadelphia,19107,39.9477815,-75.162146,3.5,123,0,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Pensilvania
35,hqCYXPFKzzckG4bcDloaVA,Hampton Inn Bellevue / Nashville-I-40 West,7815 Coley Davis Rd,Nashville,37221,36.0789960107,-86.9551212994,3.5,25,1,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tennessee
36,Yftf8nmHqMwNVH-PHwEEwQ,Adobe Rose Inn,940 N Olsen Ave,Tucson,85719,32.233591,-110.9407666,5.0,24,1,"{'WiFi': ""u'free'""}","['Hotels', ' Bed & Breakfast', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",Arizona
37,N6Xfj1KRqNR8FsOa8MH4aw,Red Carpet Inn,418 Crescent Blvd,Brooklawn,08302,39.8761018,-75.1178126,1.5,6,1,"{'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Nueva Jersey
38,eqWtg-J0YDz46p_C9tRQ7w,Fairfield Inn by Marriott Deptford,1160 North Hurffville Road,Deptford,08096,39.8339738131,-75.089319803,2.5,33,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Nueva Jersey
39,I2Yt74AzSQFfyQqgN7PSEg,Sheraton Indianapolis Hotel at Keystone Crossing,8787 Keystone Crossing,Indianapolis,46240,39.9153605,-86.1084079,2.5,141,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'paid'"", 'BusinessAcceptsBitcoin': 'False', 'WheelchairAccessible': 'True', 'DogsAllowed': 'True'}","['Venues & Event Spaces', ' Hotels', ' Restaurants', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Indiana
40,mdk5RnD04XPm-84aBK7Akw,Palm Pavilion Inn,18 Bay Esplanade,Clearwater Beach,33767,27.9850741,-82.8272405,4.5,34,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","['Hotels', ' Hotels & Travel', ' Event Planning & Services']","{'Monday': '7:0-7:0', 'Tuesday': '7:0-7:0', 'Wednesday': '7:0-7:0', 'Thursday': '7:0-7:0', 'Friday': '7:0-7:0', 'Saturday': '7:0-7:0', 'Sunday': '7:0-7:0'}",Florida
41,VgGITb54IIb1G0gSVt3gkw,Holiday Inn St. Louis - Forest Park,5915 Wilson Avenue,St. Louis,63110,38.6181014,-90.2861385,2.5,63,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","['Event Planning & Services', ' Hotels', ' Venues & Event Spaces', ' Hotels & Travel', ' Resorts']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Misuri
42,tAF-oOjxT4X6DQVR9NHTtw,Best Western Plus Indianapolis NW Hotel,7220 Woodland Dr,Indianapolis,46278,39.8834539263,-86.2668559844,2.0,6,1,,"['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Indiana
43,jTI5Xjk27An8ceJ6VwpXiQ,DoubleTree by Hilton Hotel Philadelphia Center City,237 S Broad St,Philadelphia,19107,39.9479028004,-75.1640327275,3.0,338,1,"{'WiFi': ""u'paid'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False'}","['Hotels', ' Event Planning & Services', ' Caterers', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Pensilvania
44,q-ertx54pv90p5pl1SE3qA,Baymont by Wyndham Indianapolis South,4402 E Creekview Dr,Indianapolis,46237,39.666646,-86.093087,2.0,12,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']",,Indiana
45,mwbSVN9Y08fJWjDyp1jGww,Ebb Tide Motel,11903 Gulf Blvd,Treasure Is,33706,27.7763157,-82.7771501,2.0,5,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","['Hotels & Travel', ' Hotels', ' Event Planning & Services']",,Florida
46,qkxVnEA80Qppl2IJFknf1Q,Pier House 60 Beach Marina Hotel,101 Coronado Dr,Clearwater,33767,27.9754641,-82.827904,3.5,81,1,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","['Event Planning & Services', ' Hotels', ' Hotels & Travel']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Florida
47,Hh-LHf0bUYoyOnm3DITuXw,Flanagan's Pub,625 St Philip St,New Orleans,70116,29.960361,-90.062059,4.0,105,0,"{'Alcohol': ""u'full_bar'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","['Hotels', ' Event Planning & Services', ' Nightlife', ' Bars', ' Hotels & Travel', ' Dive Bars', ' Pubs']","{'Monday': '6:0-0:0', 'Tuesday': '0:0-6:0', 'Wednesday': '6:0-0:0', 'Thursday': '0:0-6:0', 'Friday': '6:0-0:0', 'Saturday': '0:0-6:0', 'Sunday': '6:0-6:0'}",Luisiana
48,2WGzEtXWHQnh2YblEzT7cg,Extended Stay America - Nashville - Franklin - Cool Springs,680 Bakers Bridge Ave.,Franklin,37067,35.9607677449,-86.8072850034,1.0,23,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Tennessee
